insertId,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo.granted,protoPayload.authorizationInfo.permission,protoPayload.authorizationInfo.resourceAttributes.name,protoPayload.authorizationInfo.resourceAttributes.service,protoPayload.authorizationInfo.resourceAttributes.type,protoPayload.methodName,protoPayload.request.@type,protoPayload.request.canIpForward,protoPayload.request.deviceName,protoPayload.request.disks,protoPayload.request.labels,protoPayload.request.links,protoPayload.request.machineType,protoPayload.request.mode,protoPayload.request.name,protoPayload.request.networkInterfaces,protoPayload.request.requestId,protoPayload.request.scheduling.automaticRestart,protoPayload.request.scheduling.onHostMaintenance,protoPayload.request.scheduling.preemptible,protoPayload.request.serviceAccounts,protoPayload.request.shieldedInstanceConfig.enableIntegrityMonitoring,protoPayload.request.shieldedInstanceConfig.enableSecureBoot,protoPayload.request.shieldedInstanceConfig.enableVtpm,protoPayload.request.source,protoPayload.request.tags.tags,protoPayload.request.type,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.requestMetadata.destinationAttributes,protoPayload.requestMetadata.requestAttributes.auth,protoPayload.requestMetadata.requestAttributes.reason,protoPayload.requestMetadata.requestAttributes.time,protoPayload.resourceLocation.currentLocations,protoPayload.resourceName,protoPayload.response.@type,protoPayload.response.clientOperationId,protoPayload.response.id,protoPayload.response.insertTime,protoPayload.response.name,protoPayload.response.operationType,protoPayload.response.progress,protoPayload.response.selfLink,protoPayload.response.selfLinkWithId,protoPayload.response.startTime,protoPayload.response.status,protoPayload.response.targetId,protoPayload.response.targetLink,protoPayload.response.user,protoPayload.response.zone,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,receiveTimestamp,resource.labels.instance_id,resource.labels.project_id,resource.labels.zone,resource.type,severity,timestamp
-sasmjgd1oao,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,,operation-1616776887991-5be733416fd62-cce1a67a-1e9a530c,true,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,,,,,,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,,,,,,,,,,,,,GCE Managed Instance Group for GKE,,,,,,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,,,,,,,,,,,,,,,,compute.googleapis.com,,,2021-03-26T16:42:20.582088538Z,6919624300575087558,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:42:19.757291Z
r79114djez0,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,true,operation-1616776887991-5be733416fd62-cce1a67a-1e9a530c,,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,true,compute.instances.delete,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,2be391a1-e236-4d14-830e-195e3693a28d,,,,,,,,,,,,GCE Managed Instance Group for GKE,[object Object],[object Object],8uSywAYkGiJGb3IgbG9uZy1ydW5uaW5nIGFyY3VzIG9wZXJhdGlvbnMu,2021-03-26T16:41:28.406748Z,us-central1-c,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,type.googleapis.com/operation,2be391a1-e236-4d14-830e-195e3693a28d,3401254969355251799,2021-03-26T09:41:28.221-07:00,operation-1616776887991-5be733416fd62-cce1a67a-1e9a530c,delete,0,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/operation-1616776887991-5be733416fd62-cce1a67a-1e9a530c,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/3401254969355251799,2021-03-26T09:41:28.226-07:00,RUNNING,6919624300575087558,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,591220375078@cloudservices.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c,compute.googleapis.com,,,2021-03-26T16:41:28.955943846Z,6919624300575087558,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:41:27.942540Z
-vwmt6id1am4,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,,operation-1616776811907-5be732f8e0b51-6afd8287-10634e01,true,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,,,,,,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,,,,,,,,,,,,,GCE Managed Instance Group for GKE,,,,,,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-n22h,,,,,,,,,,,,,,,,compute.googleapis.com,,,2021-03-26T16:41:05.156979125Z,7068111297206817718,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:41:04.301581Z
j5e47td217w,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,,operation-1616776796416-5be732ea1ab79-76f41e7f-f46bee86,true,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,,,,,,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,,,,,,,,,,,,,GCE Managed Instance Group for GKE,,,,,,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,,,,,,,,,,,,,,,,compute.googleapis.com,,,2021-03-26T16:40:20.342028877Z,8888172971004321461,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:40:20.025545Z
t4zij6dhpsi,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,true,operation-1616776811907-5be732f8e0b51-6afd8287-10634e01,,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,true,compute.instances.delete,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-n22h,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,163d9661-1f1f-4cb0-9cf3-75149e2b448b,,,,,,,,,,,,GCE Managed Instance Group for GKE,[object Object],[object Object],8uSywAYkGiJGb3IgbG9uZy1ydW5uaW5nIGFyY3VzIG9wZXJhdGlvbnMu,2021-03-26T16:40:12.368452Z,us-central1-c,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-n22h,type.googleapis.com/operation,163d9661-1f1f-4cb0-9cf3-75149e2b448b,5671293554936492163,2021-03-26T09:40:12.133-07:00,operation-1616776811907-5be732f8e0b51-6afd8287-10634e01,delete,0,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/operation-1616776811907-5be732f8e0b51-6afd8287-10634e01,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/5671293554936492163,2021-03-26T09:40:12.138-07:00,RUNNING,7068111297206817718,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-n22h,591220375078@cloudservices.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c,compute.googleapis.com,,,2021-03-26T16:40:12.906998817Z,7068111297206817718,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:40:11.859766Z
-d1bun9dejc6,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,true,operation-1616776796416-5be732ea1ab79-76f41e7f-f46bee86,,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,true,compute.instances.delete,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,compute,compute.instances,v1.compute.instances.delete,type.googleapis.com/compute.instances.delete,,,,,,,,,,7739d487-1bcf-4ab8-bfbb-fbdd0adab456,,,,,,,,,,,,GCE Managed Instance Group for GKE,[object Object],[object Object],8uSywAYkGiJGb3IgbG9uZy1ydW5uaW5nIGFyY3VzIG9wZXJhdGlvbnMu,2021-03-26T16:39:56.946171Z,us-central1-c,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,type.googleapis.com/operation,7739d487-1bcf-4ab8-bfbb-fbdd0adab456,4569046861921628339,2021-03-26T09:39:56.718-07:00,operation-1616776796416-5be732ea1ab79-76f41e7f-f46bee86,delete,0,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/operation-1616776796416-5be732ea1ab79-76f41e7f-f46bee86,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/4569046861921628339,2021-03-26T09:39:56.755-07:00,RUNNING,8888172971004321461,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,591220375078@cloudservices.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c,compute.googleapis.com,,,2021-03-26T16:39:57.256600587Z,8888172971004321461,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:39:56.357683Z
op5d8id2lxu,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,,operation-1616776774626-5be732d552d56-f5d64d9e-f47a33a9,true,compute.googleapis.com,service-591220375078@container-engine-robot.iam.gserviceaccount.com,,,,,,v1.compute.instances.detachDisk,type.googleapis.com/compute.instances.detachDisk,,,,,,,,,,,,,,,,,,,,,35.202.148.215,"google-api-go-client/0.5 Kubernetes/1.18.12 (linux amd64),gzip(gfe)",[object Object],,,,,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,,,,,,,,,,,,,,,,compute.googleapis.com,,,2021-03-26T16:39:39.172093365Z,8888172971004321461,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:39:38.405188Z
6nzr1udi2oi,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,true,operation-1616776774626-5be732d552d56-f5d64d9e-f47a33a9,,compute.googleapis.com,service-591220375078@container-engine-robot.iam.gserviceaccount.com,true,compute.instances.detachDisk,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,compute,compute.instances,v1.compute.instances.detachDisk,type.googleapis.com/compute.instances.detachDisk,,neo4j-data-disk,,,,,,,,,,,,,,,,,,,35.202.148.215,"google-api-go-client/0.5 Kubernetes/1.18.12 (linux amd64),gzip(gfe)",[object Object],[object Object],,2021-03-26T16:39:35.118054Z,us-central1-c,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,type.googleapis.com/operation,,506041704377462953,2021-03-26T09:39:34.978-07:00,operation-1616776774626-5be732d552d56-f5d64d9e-f47a33a9,detachDisk,0,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/operation-1616776774626-5be732d552d56-f5d64d9e-f47a33a9,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/506041704377462953,2021-03-26T09:39:34.986-07:00,RUNNING,8888172971004321461,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-d2m9,service-591220375078@container-engine-robot.iam.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c,compute.googleapis.com,,,2021-03-26T16:39:35.935308644Z,8888172971004321461,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T16:39:34.655457Z
-vwmt6id1170,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,,operation-1616766248960-5be70b9f44378-556ccaec-1a5dd3fd,true,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,,,,,,v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,,,,,,,,,,,,,,,,,,,,,,GCE Managed Instance Group for GKE,,,,,,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,,,,,,,,,,,,,,,,compute.googleapis.com,,,2021-03-26T13:44:30.537898472Z,6919624300575087558,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T13:44:29.670195Z
-l2ywwadbxhu,projects/dev-env-2-304616/logs/cloudaudit.googleapis.com%2Factivity,true,operation-1616766248960-5be70b9f44378-556ccaec-1a5dd3fd,,compute.googleapis.com,591220375078@cloudservices.gserviceaccount.com,"true,true,true,true,true,true,true,true","compute.instances.create,compute.disks.create,compute.disks.setLabels,compute.subnetworks.use,compute.instances.setMetadata,compute.instances.setTags,compute.instances.setLabels,compute.instances.setServiceAccount","projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/zones/us-central1-c/disks/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/zones/us-central1-c/disks/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/regions/us-central1/subnetworks/vpods-vpc-us-central-1,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7","compute,compute,compute,compute,compute,compute,compute,compute","compute.instances,compute.disks,compute.disks,compute.subnetworks,compute.instances,compute.instances,compute.instances,compute.instances",v1.compute.instances.insert,type.googleapis.com/compute.instances.insert,true,,[object Object],[object Object],[object Object],projects/591220375078/zones/us-central1-c/machineTypes/e2-custom-2-3072,,gke-dev-cluster-def-pool-8445d449-nwm7,[object Object],2963dd16-aa1b-3a1b-915a-afb422448f30,,TERMINATE,true,[object Object],true,true,true,,gke-dev-cluster-254eabc4-node,,,GCE Managed Instance Group for GKE,[object Object],[object Object],8uSywAYkGiJGb3IgbG9uZy1ydW5uaW5nIGFyY3VzIG9wZXJhdGlvbnMu,2021-03-26T13:44:09.949179Z,us-central1-c,projects/591220375078/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,type.googleapis.com/operation,2963dd16-aa1b-3a1b-915a-afb422448f30,3384187568184646598,2021-03-26T06:44:09.810-07:00,operation-1616766248960-5be70b9f44378-556ccaec-1a5dd3fd,insert,0,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/operation-1616766248960-5be70b9f44378-556ccaec-1a5dd3fd,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/operations/3384187568184646598,2021-03-26T06:44:09.813-07:00,RUNNING,6919624300575087558,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c/instances/gke-dev-cluster-def-pool-8445d449-nwm7,591220375078@cloudservices.gserviceaccount.com,https://www.googleapis.com/compute/v1/projects/dev-env-2-304616/zones/us-central1-c,compute.googleapis.com,,,2021-03-26T13:44:10.327774827Z,6919624300575087558,dev-env-2-304616,us-central1-c,gce_instance,NOTICE,2021-03-26T13:44:08.820724Z
